,Word,Meaning
108,flamboyant,"light, optimistic and also hawa or show off"
109,florid,containing lot of information
110,foraging,searching for food
111,forfeit,lose
112,forfeited,"lose or deprived of property for wrong doing, surrender, relinquish"
113,fortuitous,"serendipitious, happening by chance"
114,frivolous,"feckless, irresponsible"
115,frugality,"spends money wisely, thrift"
116,gallantry,"dashing courage, heroic bravery
"
117,gratifying,satisfying
118,gulf,"gap, rift, schism, chasm, dichotony, discrepancy"
119,harbingers,"a bad sign about something bad is going to happen in future, sinister, permonition, prescience, forecast"
120,heretical,"something unconventional, heterodox, maverick "
121,hoard,"cache, stockpile, stock, store"
122,honor,"high respect, distinction, privilege, glory, integrity"
123,idiosyncratically,unusual behavior
124,impair,damage
125,impassivity,"emotionlessness, stolidity, phelgm, indiffernce"
126,impediments,"prevent, hindrance, deterrent"
127,impenetrable,impossible to pass through / enter / understand
128,impetuosity,"impulsive
"
129,implict,"suggested though not directly expressed, always to be found in"
130,incentive,motivation
131,incongruous,not in agreement with 
132,inconsequential,"unimportant, expandables"
133,industrious,hard working
134,inevitability,unavoidable
135,inevitibility,unavoidability
136,inexhaustible,"unbale to be sued up because existing in abundance, unlimited, limitless"
137,infirm,not strong physically or mentally through illness
138,ingenuous,"innocent, naive"
139,innocuous,"harmless, benign"
140,instep,following steps 
141,insular,ignorant or uninsterested outside of self
142,intelligble,understandable
143,intensified,"escalate, make more intense"
144,interigity,honesty
145,interospection,"brooding, self-analysis"
146,intimidate,"frighten or overawe, menace, terrify"
147,intricately,in a very complicated or detailed manner
148,involve,to participate
149,involved,complicated
150,irksome,irrritating
151,judicious,"sensible, wise"
152,lackluster,dull
153,laudable,deserving praise
154,lionization,"respect, reverence"
155,marginalization,not important
156,marginalize,unimportant
157,meddling,"intervention, unnecessary imvolvement"
158,medium,small amount
159,mettlesome,brave
160,milieu,background
161,mimic,copy
162,miserliness,"who doesn't spend money much, stingy"
163,mockery,make fun of
164,morbid,"horrifying, aghast"
165,musculature,arrangement of muscles
166,nonplussed,confused and surprised
167,nortoriely,famous for bad
168,notion,believe
169,novie,beginner
170,obilivion,state of forgetfulness
171,obselete,"
outdated"
172,obstinacy,"stubborness, inflexibilty"
173,onerous,"daunting, cumbersome, orduous, laborious"
174,ossified,"harden, solidify, rigidify, fossilize, stiffen

"
175,ostentious,showing off
176,paradox,contrasting
177,patent,kind of copyright
178,pathos,a quality that evokes pity or sadness
179,perennial,"longlive, permanent"
180,persist,"exist, live"
181,persisted,"persevere, continue"
182,personification,"embodiment, incarnation"
183,phony,"fake, conuterfeit, spurious, specious, pretentious "
184,plaintive,sounding sad and mournful
185,poignant,"evoking a keen sense of sadness or regret, touching, moving, sad"
186,polemical,argumentative
187,precendents,"model, example"
188,precursor,"precautious, something happening before"
189,predilection,iclination
190,preempted,"prevent, forestall, commandeer"
191,procurement,obtaining something
192,prodigy,"talented child, precocious"
193,propagandistic,misleading
194,provincial,"regional, territorial, local"
195,quantifiable,able to be measuerd as quantity
196,quarantine,isolation to prevent the spread of disease
197,reassess,assess or consider again
198,reconciled,"to make friendly, to cause (a person) to accept or be resigned to something not desire"
199,reconnaissance,"survey, exploration"
200,redeemd,"save, regain, recover"
201,redundancy,"extra, unnecessary, superflus"
202,reform,make changes to improve
203,refutes,"disproves, belies, debunking"
204,reiterates,repeat
205,relieve,"soothe, ally, alleviate, mitigate, soften, palliate, replace"
206,relish,to enjoy
207,reluctant,hesitant
208,represses,subdue by force (subdue = overcome or have under control
209,resentment,"bitterness, indignation, irritation"
210,resplendent,"splendid, glittering"
211,resurrected,"gain life back, revive, rejuvenate, invagurate"
212,reticent,"shy, calm, diffidence"
213,retrofit,add accessories
214,reverence,respect
215,revived,"resusitae, restore to life of consciousness"
216,revoice,cancel
217,rueful,"expressing sorrow or regret, especially in a wry or humorous way."
218,saprice,"keep changing, whimsical, mercurial"
219,sarorial,clothes related
220,scant,low attention
221,scarcer,lack of
222,scathing,"harsh, acrebic"
223,schism,"gap, conflict"
224,scholarship,"financial support, study of a subject, scholarly knowledge"
225,scornful,"disrespectful, contemptuous, ridiculed"
226,sedentary,characterized by much sitting and little physical exercise
227,segregated,separated
228,seldom,"rarely, occassionally, hardly "
229,sinister,"harbinger, ominuous, evil"
230,skepticalof,having attitude of doubt
231,solicitous,characterized by or showing interest or concern
232,solitary,"alone, solitude bata derived"
233,sordid,immoral action
234,startle,to surprise
235,startling,"surprising, astonishing"
236,stigma,resistance
237,stigmatization,dissrespect
238,strive,work hard
239,striving,make great efforts tp achieve something
240,subjective,biased
241,subordinate,under assistant
242,subordination,"to weaken, undermine"
243,supernaecular,taste whenever it feels like you want to drink last bit of it
244,surrogate,substitute
245,susceptible,"prone to, vulnerable to, succumb to"
246,swaying,move
247,swift,quick
248,sympathy,kind feeling
249,symptomatic,"serving as a symptom or a sign , slightly -ve tone"
250,synoptic,"breif, terse"
251,syntactial,syntax
252,synthesis,"combination, amalgam, union"
253,tacit,understood or implied without being stated
254,tailor,"modify, alter"
255,tantalized,torment or tease
256,tentative,no certain
257,tepid,incase of liquid = lukewarm otherwise unenthusiastic
258,trample,"tread on and crush, tramp, stamp"
259,transcend,exceeding imagination
260,transcription,a written or printed version of something
261,treacherous,"survey, exploration"
262,undermined,"erode, subvert, sabotage, threaten"
263,underrate,undervalue
264,upheavls,a big problem
265,urbanity,courteousness/ refined manner/ elegance
266,vast,immense
267,veritable,"bona fide, regular(a), authentic, unquestionable, reliable"
268,vexation,"temper, annoying, innervation, provocation, pain in the ass"
269,vindictive,"revengeful, vengeful"
270,vital,important
271,witty,"humurous, funny"
272,woo,gain favor
